,Unnamed: 0.1,Unnamed: 0,images,gt,preds,predicted_class,predicted_author
23,23,23,Avercamp2.jpg,hendrick avercamp,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
24,24,24,Backer1.jpg,jacob adriaensz backer,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
25,25,25,Baglione1.jpg,giovanni baglione,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
26,26,26,Barocci1.jpg,federico barocci,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rubens. The author of this painting is Van Gogh. The author of this painting is,peter paul rubens, 	Rubens
27,27,27,Barry1.jpg,james barry,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
28,28,28,Bartolommeo1.jpg,fra bartolommeo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
29,29,29,Bartolommeo2.jpg,fra bartolommeo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is romeo and juliet.<|endofchunk|>,benvenuto tisi, romeo and juliet
30,30,30,Bartolommeo3.jpg,fra bartolommeo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
31,31,31,Battista1.jpg,giovanni battista,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
32,32,32,Battista2.jpg,giovanni battista,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
33,33,33,Battista3.jpg,giovanni battista,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
34,34,34,Battista4.jpg,giovanni battista,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
35,35,35,Battista5.jpg,giovanni battista,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
36,36,36,Battista6.jpg,giovanni battista,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Francisco de Goya y Lucientes. The author of this painting is Pablo Picasso.,francisco goya, 	Francisco de Goya y Lucientes
37,37,37,Bazille1.jpg,frederic bazille,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
38,38,38,Bazille2.jpg,frederic bazille,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
39,39,39,Beck1.jpg,david beck,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
40,40,40,Becker1.jpg,paula modersohn-becker,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is,jalmari ruokokoski, Ștefan
41,41,41,Becker2.jpg,paula modersohn-becker,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is,jalmari ruokokoski, Ștefan
42,42,42,Beert1.jpg,osias beert,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
43,43,43,Bellucci1.jpg,antonio bellucci,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is romeo and juliet.<|endofchunk|>,benvenuto tisi, romeo and juliet
44,44,44,BenjaminWest1.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is.................. The author of this painting is Van Gogh. The author of this painting is,arent arentsz,
45,45,45,BenjaminWest10.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	John Singleton Copley. The author of this painting is John Singleton Copley,john singleton copley, 	John Singleton Copley
46,46,46,BenjaminWest11.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst Haeckel. The author of this painting is Picasso. The author of this,hubert goltzius, ernst Haeckel
47,47,47,BenjaminWest12.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
48,48,48,BenjaminWest13.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is romeo and juliet.<|endofchunk|>,benvenuto tisi, romeo and juliet
49,49,49,BenjaminWest14.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Benjamin Franklin. The author of this painting is Pablo Picasso. The author of this painting,thomas de keyser, 	Benjamin Franklin
50,50,50,BenjaminWest15.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
51,51,51,BenjaminWest16.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is romeo. The author of this,benvenuto tisi, romeo and juliet
52,52,52,BenjaminWest17.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
53,53,53,BenjaminWest18.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is romeo. The author of this painting is ,arent arentsz, romeo
54,54,54,BenjaminWest2.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
55,55,55,BenjaminWest3.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
56,56,56,BenjaminWest4.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
57,57,57,BenjaminWest5.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Sir John Everett Millais. The author of this painting is John Everett Millais.,george frederic watts, 	Sir John Everett Millais
58,58,58,BenjaminWest6.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Francois Boucher. The author of this painting is Jean-Auguste-Dominique,francois boucher, 	Francois Boucher
59,59,59,BenjaminWest7.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
60,60,60,BenjaminWest8.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	John Singleton Copley. The author of this painting is John Singleton Copley,john singleton copley, 	John Singleton Copley
61,61,61,BenjaminWest9.jpg,benjamin west,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is.................. The author of this painting is.................. The author of this painting,arent arentsz,
62,62,62,Benson1.jpg,frank weston benson,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
63,63,63,Benson2.jpg,frank weston benson,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
64,64,64,Bernard1.jpg,emile bernard,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is,jalmari ruokokoski, Ștefan
65,65,65,Bernard2.jpg,emile bernard,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Șerban Rădulescu. The author of this painting is Pablo Picasso.,jalmari ruokokoski, Șerban Rădulescu
66,66,66,Bernard3.jpg,emile bernard,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
67,67,67,Bernard4.jpg,emile bernard,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
68,68,68,Blanchard1.jpg,jacques blanchard,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
69,69,69,Bloemaert1.jpg,abraham bloemaert,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
70,70,70,Bloemaert2.jpg,abraham bloemaert,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is romeo and juliet.<|endofchunk|>,benvenuto tisi, romeo and juliet
71,71,71,Bocklin1.jpg,arnold bocklin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
72,72,72,Bocklin2.jpg,arnold bocklin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 𐤀𐤀𐤀𐤀𐤀,arent arentsz, 𐤀𐤀𐤀𐤀𐤀
73,73,73,Bocklin3.jpg,arnold bocklin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
74,74,74,Bocklin4.jpg,arnold bocklin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
75,75,75,Boel1.jpg,pieter boel,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
76,76,76,Boel2.jpg,pieter boel,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
77,77,77,Bol1.jpg,ferdinand bol,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
78,78,78,Bol2.jpg,ferdinand bol,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
79,79,79,Bonheur1.jpg,rosa bonheur,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
80,80,80,Borch1.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
81,81,81,Borch2.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
82,82,82,Borch3.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
83,83,83,Borch4.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
84,84,84,Borch5.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst Haeckel. The author of this painting is Picasso. The author of this,hubert goltzius, ernst Haeckel
85,85,85,Borch6.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
86,86,86,Borch7.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
87,87,87,Borch8.jpg,gerard ter borch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
88,88,88,Bordone1.jpg,paris bordone,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
89,89,89,Bordone2.jpg,paris bordone,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is romeo and juliet.<|endofchunk|>,benvenuto tisi, romeo and juliet
90,90,90,Boselli1.jpg,felice boselli,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
91,91,91,Boucher1.jpg,francois boucher,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst Haeckel. The author of this painting is Picasso. The author of this,hubert goltzius, ernst Haeckel
92,92,92,Boucher2.jpg,francois boucher,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
93,93,93,Boucher3.jpg,francois boucher,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is erme. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, erme
94,94,94,Boucher4.jpg,francois boucher,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is erme. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, erme
95,95,95,Boudin1.jpg,eugene boudin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
96,96,96,Boudin2.jpg,eugene boudin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Claude Monet. The author of this painting is Pablo Picasso. The author of this,monet, 	Claude Monet
97,97,97,Boudin3.jpg,eugene boudin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
98,98,98,Boudin4.jpg,eugene boudin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
99,99,99,Boudin5.jpg,eugene boudin,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso. The author,orest kiprensky, Ștefan cel Mare
100,100,100,Bouguereau1.jpg,william-adolphe bouguereau,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
101,101,101,Bouguereau2.jpg,william-adolphe bouguereau,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
102,102,102,Bouguereau3.jpg,william-adolphe bouguereau,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
103,103,103,Bramley1.jpg,frank bramley,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
104,104,104,Bray1.jpg,salomon de bray,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
105,105,105,Breenbergh1.jpg,bartholomeus breenbergh,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
106,106,106,Breenbergh2.jpg,bartholomeus breenbergh,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
107,107,107,Breton1.jpg,jules breton,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
108,108,108,Bronzino1.jpg,bronzino,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
109,109,109,Bronzino2.jpg,bronzino,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Caravaggio. The author of this painting is Picasso. The author of this painting is,caravaggio, 	Caravaggio
110,110,110,Bronzino3.jpg,bronzino,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
111,111,111,Bronzino4.jpg,bronzino,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
112,112,112,Bronzino5.jpg,bronzino,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
